Order ID;Customer ID;Item Type;Sales Channel;Order Priority;Order Date;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit
844530045;98977;Cereal;Online;M;25/03/2013;28/03/2013;4063;205,7;117,11;835759,1;475817,93;359941,17
441888415;65669;Office Supplies;Offline;M;26/11/2011;07/01/2012;3457;651,21;524,96;2251232,97;1814786,72;436446,25
508980977;91409;Fruits;Offline;H;17/09/2013;24/10/2013;7637;9,33;6,92;71253,21;52848,04;18405,17
114606559;89435;Clothes;Online;C;08/06/2012;27/06/2012;3482;109,28;35,84;380512,96;124794,88;255718,08
647876489;86477;Clothes;Offline;C;30/06/2010;01/08/2010;9905;109,28;35,84;1082418,4;354995,2;727423,2
868214595;89063;Cosmetics;Offline;H;23/02/2015;02/03/2015;2847;437,2;263,33;1244708,4;749700,51;495007,89
955357205;94863;Household;Online;L;05/01/2012;14/02/2012;282;668,27;502,54;188452,14;141716,28;46735,86
259353148;31725;Cosmetics;Offline;H;07/04/2014;19/04/2014;7215;437,2;263,33;3154398;1899925,95;1254472,05
450563752;55455;Cereal;Offline;H;09/06/2013;02/07/2013;682;205,7;117,11;140287,4;79869,02;60418,38
569662845;51763;Baby Food;Online;L;26/06/2013;01/07/2013;4750;255,28;159,42;1212580;757245;455335
177636754;81931;Office Supplies;Online;M;07/11/2011;15/11/2011;5518;651,21;524,96;3593376,78;2896729,28;696647,5
705784308;47141;Clothes;Offline;H;30/10/2010;17/11/2010;6116;109,28;35,84;668356,48;219197,44;449159,04
505716836;65063;Cosmetics;Offline;H;13/10/2013;16/11/2013;1705;437,2;263,33;745426;448977,65;296448,35
699358165;91287;Cosmetics;Offline;H;11/10/2013;25/11/2013;4477;437,2;263,33;1957344,4;1178928,41;778415,99
228944623;56151;Personal Care;Offline;L;08/07/2012;09/07/2012;8656;81,73;56,67;707454,88;490535,52;216919,36
807025039;24664;Clothes;Offline;M;25/07/2016;07/09/2016;5498;109,28;35,84;600821,44;197048,32;403773,12
166460740;80842;Office Supplies;Offline;H;24/10/2010;17/11/2010;8287;651,21;524,96;5396577,27;4350343,52;1046233,75
610425555;92360;Clothes;Offline;L;25/04/2015;28/05/2015;7342;109,28;35,84;802333,76;263137,28;539196,48
462405812;99234;Office Supplies;Online;M;23/04/2013;20/05/2013;5010;651,21;524,96;3262562,1;2630049,6;632512,5
816200339;47141;Fruits;Online;L;14/08/2015;30/09/2015;673;9,33;6,92;6279,09;4657,16;1621,93
585920464;27307;Beverages;Online;C;26/05/2011;15/07/2011;5741;47,45;31,79;272410,45;182506,39;89904,06
555990016;31725;Cereal;Online;H;20/05/2017;17/06/2017;8656;205,7;117,11;1780539,2;1013704,16;766835,04
231145322;28670;Cosmetics;Offline;L;05/07/2013;16/08/2013;9892;437,2;263,33;4324782,4;2604860,36;1719922,04
986435210;92864;Household;Offline;C;06/11/2014;12/12/2014;6954;668,27;502,54;4647149,58;3494663,16;1152486,42
217221009;88875;Beverages;Online;C;28/10/2014;15/11/2014;9379;47,45;31,79;445033,55;298158,41;146875,14
789176547;47455;Vegetables;Offline;C;15/09/2011;23/10/2011;3732;154,06;90,93;574951,92;339350,76;235601,16
688288152;93920;Baby Food;Offline;H;29/05/2012;02/06/2012;8614;255,28;159,42;2198981,92;1373243,88;825738,04
670854651;83292;Cosmetics;Online;H;20/07/2013;07/08/2013;9654;437,2;263,33;4220728,8;2542187,82;1678540,98
213487374;26207;Household;Offline;L;21/10/2012;30/11/2012;4513;668,27;502,54;3015902,51;2267963,02;747939,49
663110148;47871;Clothes;Online;L;18/09/2012;08/10/2012;7884;109,28;35,84;861563,52;282562,56;579000,96
286959302;14812;Cosmetics;Online;H;15/11/2016;08/12/2016;6489;437,2;263,33;2836990,8;1708748,37;1128242,43
122583663;88209;Snacks;Online;L;04/01/2011;05/01/2011;4085;152,58;97,44;623289,3;398042,4;225246,9
827844560;21493;Vegetables;Online;L;18/03/2012;07/04/2012;6457;154,06;90,93;994765,42;587135,01;407630,41
430915820;88951;Personal Care;Offline;L;17/02/2012;20/03/2012;6422;81,73;56,67;524870,06;363934,74;160935,32
180283772;91409;Beverages;Offline;C;16/01/2011;21/01/2011;8829;47,45;31,79;418936,05;280673,91;138262,14
494747245;67886;Baby Food;Offline;M;03/02/2014;20/03/2014;5559;255,28;159,42;1419101,52;886215,78;532885,74
513417565;94348;Fruits;Online;M;30/04/2012;18/05/2012;522;9,33;6,92;4870,26;3612,24;1258,02
345718562;20088;Beverages;Offline;C;23/10/2016;25/11/2016;4660;47,45;31,79;221117;148141,4;72975,6
621386563;65669;Office Supplies;Offline;H;06/12/2016;14/12/2016;948;651,21;524,96;617347,08;497662,08;119685
240470397;55455;Beverages;Offline;H;07/07/2014;11/07/2014;9389;47,45;31,79;445508,05;298476,31;147031,74
423331391;44148;Office Supplies;Online;M;13/06/2012;24/07/2012;2021;651,21;524,96;1316095,41;1060944,16;255151,25
660643374;14689;Cosmetics;Online;H;26/11/2010;25/12/2010;7910;437,2;263,33;3458252;2082940,3;1375311,7
963392674;11594;Beverages;Offline;C;08/02/2011;21/03/2011;8156;47,45;31,79;387002,2;259279,24;127722,96
512878119;65444;Clothes;Online;M;26/07/2011;03/09/2011;888;109,28;35,84;97040,64;31825,92;65214,72
810711038;35506;Fruits;Offline;L;11/11/2011;28/12/2011;6267;9,33;6,92;58471,11;43367,64;15103,47
728815257;18016;Vegetables;Offline;C;01/06/2016;29/06/2016;1485;154,06;90,93;228779,1;135031,05;93748,05
559427106;92864;Personal Care;Offline;M;30/07/2015;08/08/2015;5767;81,73;56,67;471336,91;326815,89;144521,02
665095412;78796;Household;Offline;L;10/02/2012;15/02/2012;5367;668,27;502,54;3586605,09;2697132,18;889472,91

